Timestamp,UserID,Customer Name,Area Pincode,Distance from Nearest Postal Service,Time Slot,Traffic Pattern,Region,Success Indicator,User Rating
2024-04-01 00:00:00.000000000,UID000000,Kathleen Watkins,700019,6.5,16:00-17:00,Moderate,West,1,0
2024-04-01 00:00:00.000000000,UID000001,Shawn Zuniga,700001,2.0,14:00-15:00,Moderate,West,1,2
2024-04-01 00:00:00.000000000,UID000002,Richard Miller,700012,4.0,09:00-10:00,Light,North,1,5
2024-04-01 00:00:00.000000000,UID000003,Anthony Zimmerman,700003,2.5,10:00-11:00,Light,North,0,0
2024-04-01 00:00:00.000000000,UID000004,John Wilson,700020,4.5,09:00-10:00,Moderate,West,0,0
2024-04-01 00:00:00.000000000,UID000005,Raymond Hill,700012,4.0,16:00-17:00,Light,North,0,0
2024-04-01 00:00:00.000000000,UID000006,Cathy Hawkins,700006,5.0,14:00-15:00,Light,West,1,4
2024-04-01 00:00:00.000000000,UID000007,Sarah Parsons,700003,2.5,15:00-16:00,Moderate,North,1,2
2024-04-01 00:00:00.000000000,UID000008,Kelly Barrett,700018,6.0,09:00-10:00,Light,East,1,4
2024-04-01 00:00:00.000000000,UID000009,Jason Hernandez,700005,4.0,09:00-10:00,Moderate,West,1,5
2024-04-01 00:00:00.000000000,UID000010,Madison Gonzalez,700007,5.5,15:00-16:00,Light,South,0,0
2024-04-01 00:00:00.000000000,UID000011,Lynn Adams,700001,2.0,12:00-13:00,Moderate,Central,0,0
2024-04-01 00:00:00.000000000,UID000012,Vincent Doyle,700011,7.0,10:00-11:00,Light,West,0,0
2024-04-01 00:00:00.000000000,UID000013,Linda Waller,700009,6.0,16:00-17:00,Light,South,1,0
2024-04-01 00:00:00.000000000,UID000014,Leslie Allen,700011,7.0,09:00-10:00,Moderate,West,1,0
2024-04-01 00:00:00.000000000,UID000015,Wanda Foster,700014,4.0,09:00-10:00,Light,North,0,0
2024-04-01 00:00:00.000000000,UID000016,Julie Sims,700003,2.5,17:00-18:00,Light,West,0,0
2024-04-01 00:00:00.000000000,UID000017,Christina Evans,700010,2.0,11:00-12:00,Moderate,West,1,2
2024-04-01 00:00:00.000000000,UID000018,Jeremy Ho,700020,4.5,13:00-14:00,Light,West,0,0
2024-04-01 00:00:00.000000000,UID000019,Michael Johnson,700003,2.5,16:00-17:00,Moderate,North,0,0
2024-04-01 00:00:00.000000000,UID000020,Mackenzie Williams,700005,4.0,13:00-14:00,Light,East,0,0
2024-04-01 00:00:00.000000000,UID000021,Allen Gonzalez,700007,5.5,16:00-17:00,Moderate,South,0,0
2024-04-01 00:00:00.000000000,UID000022,Mr. Michael Robinson,700006,5.0,15:00-16:00,Light,West,1,4
2024-04-01 00:00:00.000000000,UID000023,Eric Parker,700001,2.0,17:00-18:00,Light,East,0,0
2024-04-01 00:00:00.000000000,UID000024,Andrew Hansen,700017,6.0,17:00-18:00,Moderate,North,1,0
2024-04-01 00:00:00.000000000,UID000025,Michael Sparks,700003,2.5,09:00-10:00,Moderate,Central,1,1
2024-04-01 00:00:00.000000000,UID000026,Mr. Mark Gonzales,700007,5.5,12:00-13:00,Light,West,1,5
2024-04-01 00:00:00.000000000,UID000027,Brian Morales,700013,5.5,13:00-14:00,Moderate,Central,1,3
2024-04-01 00:00:00.000000000,UID000028,Frank Bell,700002,2.5,15:00-16:00,Light,East,1,2
2024-04-01 00:00:00.000000000,UID000029,James Berry,700019,6.5,17:00-18:00,Light,West,0,0
2024-04-01 00:00:00.000000000,UID000030,Gabrielle Camacho,700001,2.0,11:00-12:00,Moderate,South,1,5
2024-04-01 00:00:00.000000000,UID000031,Derek Harris,700006,5.0,11:00-12:00,Light,Central,1,3
2024-04-01 00:00:00.000000000,UID000032,Thomas Gonzales,700006,5.0,09:00-10:00,Light,South,0,0
2024-04-01 00:00:00.000000000,UID000033,Kim Gardner,700007,5.5,11:00-12:00,Light,Central,0,0
2024-04-01 00:00:00.000000000,UID000034,Michael Horton,700007,5.5,16:00-17:00,Moderate,West,1,3
2024-04-01 00:00:00.000000000,UID000035,Christina Duran,700011,7.0,17:00-18:00,Moderate,Central,1,0
2024-04-01 00:00:00.000000000,UID000036,Michele Gonzalez,700002,2.5,09:00-10:00,Light,South,1,0
2024-04-01 00:00:00.000000000,UID000037,Nicole Diaz,700010,2.0,11:00-12:00,Light,West,1,4
2024-04-01 00:00:00.000000000,UID000038,Cynthia Anderson,700019,6.5,13:00-14:00,Moderate,North,0,0
2024-04-01 00:00:00.000000000,UID000039,Richard Simmons,700005,4.0,13:00-14:00,Moderate,East,0,0
2024-04-01 00:00:00.000000000,UID000040,Kayla Coleman,700015,4.5,15:00-16:00,Moderate,East,0,0
2024-04-01 00:00:00.000000000,UID000041,Kristen Miller,700001,2.0,15:00-16:00,Light,Central,1,3
2024-04-01 00:00:00.000000000,UID000042,Nicholas Owens,700005,4.0,09:00-10:00,Light,South,1,3
2024-04-01 00:00:00.000000000,UID000043,Patricia Smith,700013,5.5,12:00-13:00,Moderate,North,0,0
2024-04-01 00:00:00.000000000,UID000044,Barbara Morgan,700019,6.5,12:00-13:00,Light,East,0,0
2024-04-01 00:00:00.000000000,UID000045,Douglas Murphy,700004,2.5,16:00-17:00,Moderate,South,0,0
2024-04-01 00:00:00.000000000,UID000046,Michelle Howard,700019,6.5,14:00-15:00,Moderate,North,0,0
2024-04-01 00:00:00.000000000,UID000047,Jessica Martinez,700012,4.0,14:00-15:00,Light,West,0,0
2024-04-01 00:00:00.000000000,UID000048,Betty Harper,700005,4.0,09:00-10:00,Light,West,1,5
2024-04-01 00:00:00.000000000,UID000049,William Salas,700015,4.5,10:00-11:00,Light,Central,1,5
2024-04-01 00:00:00.000000000,UID000050,Monica Smith,700020,4.5,13:00-14:00,Light,North,1,0
2024-04-01 00:00:00.000000000,UID000051,Stacy Sanchez,700013,5.5,13:00-14:00,Light,South,1,1
2024-04-01 00:00:00.000000000,UID000052,Karina Cuevas,700018,6.0,12:00-13:00,Moderate,South,0,0
